dataset,split,method,metric,mean,std
bbc-embeddings,train,Linear,mse,0.06115998088047472,0.009822904725800602
bbc-embeddings,train,MLP,mae,0.291379082399482,0.02370391552738002
bbc-embeddings,train,MLP,mse,0.10528936409654661,0.016994247300506044
bbc-embeddings,train,Shapley,mae,0.7627319326885635,0.08198668905488404
bbc-embeddings,train,Shapley,mse,1.0165509468008698,0.2171261799370199
digits,test,Banzhaf,mae,0.21202849314587763,0.02341278414179888
digits,test,Banzhaf,mse,0.06020564883862024,0.012989078986331892
digits,test,BetaShapley,mae,0.4246021074455978,0.044391095713673064
digits,test,BetaShapley,mse,0.3152283010119207,0.06951918037512152
digits,test,Bipartite,mae,0.05785199999999997,0.008666585316757203
digits,test,Bipartite,mse,0.00545443999999996,0.0014087154456230244
digits,test,Linear,mae,0.1620574114559695,0.016924114751219913
digits,test,Linear,mse,0.035217315831379055,0.0072866743991304595
digits,test,MLP,mae,0.21122754588591172,0.023310046331136838
digits,test,MLP,mse,0.05788651216008085,0.012373166422176056
digits,test,Shapley,mae,0.4423987453597954,0.054480752797347785
digits,test,Shapley,mse,0.3433640132872947,0.0899925940924263
digits,train,Banzhaf,mae,0.20614465872736226,0.022930108227642985
digits,train,Banzhaf,mse,0.05523937551653635,0.011992253617920447
digits,train,BetaShapley,mae,0.4243687233883369,0.047350525174513165
digits,train,BetaShapley,mse,0.31885868770827874,0.07367550044824109
digits,train,Bipartite,mae,0.05889199999999998,0.008684300171786116
digits,train,Bipartite,mse,0.005632479999999969,0.0015147927013291279
digits,train,Linear,mae,0.15095578337458349,0.015525250102005233
digits,train,Linear,mse,0.03083266537599517,0.006318889649249705
digits,train,MLP,mae,0.21328895434495893,0.023618336058920598
digits,train,MLP,mse,0.056748653145009945,0.012222399683017336
digits,train,Shapley,mae,0.4425855451390605,0.05654094286375222
digits,train,Shapley,mse,0.34782595348695755,0.09357813908051307
election,test,Banzhaf,mae,0.2905516396961353,0.02811139704956742
election,test,Banzhaf,mse,0.12101332191254988,0.022038944454138336
election,test,BetaShapley,mae,1.2030449256204485,0.08983021288430632
election,test,BetaShapley,mse,2.447432432231455,0.35670236308233894
election,test,Bipartite,mae,0.131022,0.023354563985383426
election,test,Bipartite,mse,0.028990119999999973,0.007993546662520612
election,test,Linear,mae,0.24650408842304605,0.021009045618281583
election,test,Linear,mse,0.08941280259861596,0.014600585455523256
election,test,MLP,mae,0.2887185710033223,0.027566058716674523
